"","Hugo_Symbol","High","Low","pval","or","ci.up","ci.low","adjPval"
"508","IGDCC3",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"509","KANSL1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"510","KDR",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"511","KEAP1",4,12,1,0.87266949719614,2.97279008343553,0.200116828248999,1
"512","KIF14",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"513","KMT2B",4,12,1,0.87266949719614,2.97279008343553,0.200116828248999,1
"514","KNTC1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"515","LAMB2",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"516","LRFN5",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"517","LTBP4",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"518","MGAM",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"519","MTOR",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"520","MYH14",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"521","MYOCD",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"522","MYOM1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"523","MYT1L",4,13,1,0.802451505245315,2.68372051284935,0.185900109593519,1
"524","NCOA6",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"525","NCOR1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"526","NFASC",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"527","NOTCH2",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"528","PCDH10",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"529","PCDHA8",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"530","PCDHGA10",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"531","PDGFRA",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"532","PKD1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"533","PKD1L1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"534","PLEKHM1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"535","PSD2",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"536","PTPN14",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"537","PTPRC",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"538","PTPRM",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"539","PXDN",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"540","RECQL4",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
